Year,Rank,Name,Wealth,Wealth source,Country
2010,1,Carlos Slim Helu ,53.5,Telecom,Mexico
2010,2,Bill Gates ,53,Microsoft,United States
2010,3,Warren Buffett,47,Berkshire Hathaway,United States
2010,4,Mukesh Ambani,29,Reliance Industries,India
2010,5,Lakshmi Mittal,28.7,Arcelor Mittal,India
2010,6,Larry Ellison,28,Oracle Corporation,United States
2010,7,Bernard Arnault,27.5,LVMH,France
2010,8,Eike Batista,27,EBX Group,Brazil
2010,9,Amancio Ortega,25,Inditex Group,Spain
2010,10,Karl Albrecht,23.5,Aldi Sud,Germany
2010,11,Ingvar Kamprad ,23,retail,Sweden
2010,12,Christy Walton ,22.5,Walmert,United States
2010,13,Stefan Persson,22.4,Retail,Sweden
2010,14,Li Ka-shing,21,Real Estate,Hong Kong
2010,15,Jim Walton,20.7,Walmert,United States
2010,16,Alice Walton,20.6,Walmert,United States
2010,17,Liliane Bettencourt,20,L'Oreal,France
2010,18,S. Robson Walton,19.8,Walmert,United States
2010,19,Prince Alwaleed Bin Talal Alsaud,19.4,Real Estate,Saudi Arabia
2010,20,David Thomson ,19,Media magnete,Canada
2011,1,Carlos Slim Helu ,74,Telecom,Mexico
2011,2,Bill Gates,56,Microsoft,United States
2011,3,Warren Buffett,50,Berkshire Hathaway,United States
2011,4,Bernard Arnault,41,LVMH,France
2011,5,Larry Ellison,39.5,Oracle,United States
2011,6,Lakshmi Mittal,31.1,Steel,India
2011,7,Amancio Ortega,31,Zara,Spain
2011,8,Eike Batista,30,"mining, oil",Brazil
2011,9,Mukesh Ambani,27,"petrochemicals, oil & gas",India
2011,10,Christy Walton ,26.5,Walmart,United States
2011,11,Li Ka-shing,26,Diversified,Hong Kong
2011,12,Karl Albrecht,25.5,Aldi,Germany
2011,13,Stefan Persson,24.5,H&M,Sweden
2011,14,Vladimir Lisin,24,Steel,Russia
2011,15,Liliane Bettencourt,23.5,L'Oréal,France
2011,16,Sheldon Adelson,23.3,casinos,United States
2011,17,David Thomson ,23,media,Canada
2011,18,Charles Koch,22,Diversified,United States
2011,19,David Koch,22,Diversified,United States
2011,20,Jim Walton,21.3,Walmart,United States
2012,1,Carlos Slim Helu ,69,telecom,Mexico
2012,2,Bill Gates,61,Microsoft,United States
2012,3,Warren Buffett,44,Berkshire Hathaway,United States
2012,4,Bernard Arnault,41,LVMH,France
2012,5,Amancio Ortega,37.5,Zara,Spain
2012,6,Larry Ellison,36,Oracle,United States
2012,7,Eike Batista,30,"mining, oil",Brazil
2012,8,Stefan Persson,26,H&M,Sweden
2012,9,Li Ka-shing,25.5,diversified,Hong Kong
2012,10,Karl Albrecht,25.4,Aldi,Germany
2012,11,Christy Walton ,25.3,Wal-Mart,United States
2012,12,Charles Koch,25,diversified,United States
2012,13,David Koch,25,diversified,United States
2012,14,Sheldon Adelson,24.9,casinos,United States
2012,15,Liliane Bettencourt,24,L'Oreal,France
2012,16,Jim Walton,23.7,Wal-Mart,United States
2012,17,Alice Walton,23.3,Wal-Mart,United States
2012,18,S. Robson Walton,23.1,Wal-Mart,United States
2012,19,Mukesh Ambani,22.3,"petrochemicals, oil & gas",India
2012,20,Michael Bloomberg,22,Bloomberg LP,United States
2013,1,Carlos Slim Helu ,73,telecom,Mexico
2013,2,Bill Gates,67,Microsoft,United States
2013,3,Amancio Ortega,57,Zara,Spain
2013,4,Warren Buffett,53.5,Berkshire Hathaway,United States
2013,5,Larry Ellison,43,Oracle,United States
2013,6,Charles Koch,34,diversified,United States
2013,7,David Koch,34,diversified,United States
2013,8,Li Ka-shing,31,diversified,Hong Kong
2013,9,Liliane Bettencourt ,30,L'Oreal,France
2013,10,Bernard Arnault ,29,LVMH,France
2013,11,Christy Walton ,28.2,Wal-Mart,United States
2013,12,Stefan Persson,28,H&M,Sweden
2013,13,Michael Bloomberg,27,Bloomberg LP,United States
2013,14,Jim Walton,26.7,Wal-Mart,United States
2013,15,Sheldon Adelson,26.5,casinos,United States
2013,16,Alice Walton,26.3,Wal-Mart,United States
2013,17,S. Robson Walton,26.1,Wal-Mart,United States
2013,18,Karl Albrecht,26,Aldi,Germany
2013,19,Jeff Bezos,25.2,Amazon.com,United States
2013,20,Larry Page,23,Google,United States
2014,1,Bill Gates,76,Microsoft,United States
2014,2,Carlos Slim Helu ,72,telecom,Mexico
2014,3,Amancio Ortega,64,retail,Spain
2014,4,Warren Buffett,58.2,Berkshire Hathaway,United States
2014,5,Larry Ellison,48,Oracle Corporation,United States
2014,6,Charles Koch,40,diversified,United States
2014,7,David Koch,40,diversified,United States
2014,8,Sheldon Adelson,38,casinos,United States
2014,9,Christy Walton ,36.7,Wal-Mart,United States
2014,10,Jim Walton,34.7,Wal-Mart,United States
2014,11,Liliane Bettencourt & ,34.5,L'Oreal,France
2014,12,Stefan Persson,34.4,H&M,Sweden
2014,13,Alice Walton,34.3,Wal-Mart,United States
2014,14,S. Robson Walton,34.2,Wal-Mart,United States
2014,15,Bernard Arnault & ,33.5,LVMH,France
2014,16,Michael Bloomberg,33,Bloomberg LP,United States
2014,17,Larry Page,32.3,Google,United States
2014,18,Jeff Bezos,32,Amazon,United States
2014,19,Sergey Brin,31.8,Google,United States
2014,20,Li Ka-shing,31,diversified,Hong Kong
2015,1,Bill Gates,79.2,Microsoft,United States
2015,2,Carlos Slim Helu,77.1,Telecom,Mexico
2015,3,Warren Buffett,72.7,Berkshire Hathaway,United States
2015,4,Amancio Ortega,64.5,Zara,Spain
2015,5,Larry Ellison,54.3,Oracle,United States
2015,6,Charles Koch,42.9,Diversified,United States
2015,7,David Koch,42.9,Diversified,United States
2015,8,Christy Walton,41.7,Wal-Mart,United States
2015,9,Jim Walton,40.6,Wal-Mart,United States
2015,10,Liliane Bettencourt,40.1,L'Oréal,France
2015,11,Alice Walton,39.4,Wal-Mart,United States
2015,12,S. Robson Walton,39.1,Wal-Mart,United States
2015,13,Bernard Arnault,37.2,LVMH,France
2015,14,Michael Bloomberg,35.5,Bloomberg LP,United States
2015,15,Jeff Bezos,34.8,Amazon.com,United States
2015,16,Mark Zuckerberg,33.4,Facebook,United States
2015,17,Li Ka-shing,33.3,Diversified,Hong Kong
2015,18,Sheldon Adelson,31.4,Casinos,United States
2015,19,Larry Page,29.7,Google,United States
2015,20,Sergey Brin,29.2,Google,United States
2016,1,Bill Gates,75,Microsoft,United States
2016,2,Amancio Ortega,67,Zara,Spain
2016,3,Warren Buffett,60.8,Berkshire Hathaway,United States
2016,4,Carlos Slim Helu,50,Telecom,Mexico
2016,5,Jeff Bezos,45.2,Amazon.Com,United States
2016,6,Mark Zuckerberg,44.6,Facebook,United States
2016,7,Larry Ellison,43.6,Oracle,United States
2016,8,Michael Bloomberg,40,Bloomberg LP,United States
2016,9,Charles Koch,39.6,Diversified,United States
2016,10,David Koch,39.6,Diversified,United States
2016,11,Liliane Bettencourt,36.1,L'Oréal,France
2016,12,Larry Page,35.2,Google,United States
2016,13,Sergey Brin,34.4,Google,United States
2016,14,Bernard Arnault,34,LVMH,France
2016,15,Jim Walton,33.6,Wal-Mart,United States
2016,16,Alice Walton,32.3,Wal-Mart,United States
2016,17,S. Robson Walton,31.9,Wal-Mart,United States
2016,18,Wang Jianlin,28.7,Real Estate,China
2016,19,Jorge Paulo Lemann,27.8,Beer,Brazil
2016,20,Li Ka-shing,27.1,Diversified,Hong Kong
2017,1,Bill Gates,86.0  ,Microsoft, United States
2017,2,Warren Buffett,75.6  ,Berkshire Hathaway, United States
2017,3,Jeff Bezos,72.8  ,Amazon, United States
2017,4,Amancio Ortega,71.3  ,"Inditex, Zara", Spain
2017,5,Mark Zuckerberg,56.0  ,Facebook, United States
2017,6,Carlos Slim,54.5  ,Telecom, Mexico
2017,7,Larry Ellison,52.2  ,Oracle Corporation, United States
2017,8,Charles Koch,48.3  ,Koch Industries, United States
2017,9,David Koch,48.3  ,Koch Industries, United States
2017,10,Michael Bloomberg,47.5,Bloomberg L.P., United States
2017,11,Bernard Arnault,41.5,LVMH,France
2017,12,Larry Page,40.7,Google,United States
2017,13,Sergey Brin,39.8,Google,United States
2017,14,Liliane Bettencourt,39.5,L'Oreal,France
2017,15,S. Robson Walton,34.1,Wal-Mart,United States
2017,16,Jim Walton,34,Wal-Mart,United States
2017,17,Alice Walton,33.8,Wal-Mart,United States
2017,18,Wang Jianlin,31.3,real estate,China
2017,19,Li Ka-shing,31.2,diversified,Hong Kong
2017,20,Sheldon Adelson,30.4,casinos,United States
2018,1,Jeff Bezos,164,Technology,United States
2018,2,Bill Gates,98.4,Technology,United States
2018,3,Warren Buffet,87.1,Diversified,United States
2018,4,Bernard Arnault,79.3,Consumer,France
2018,5,Amancio Ortega,69.7,Retail,Spain
2018,6,Mark Zuckerberg,69.6,Technology,United States
2018,7,Carlos Slim,63.2,Diversified,Mexico
2018,8,Larry Page,60.7,Technology,United States
